District Name	District Code	Subject	M+E #	M+E %	E #	E %	M #	M %	PM #	PM %	NM #	NM %	No. of Students Included	Avg. Scaled Score	SGP	Included In SGP
Canton	00500000	MATH	         958	62	         182	12	         776	51	         483	31	          93	6	       1,534	     506.2	          49.1	       1,201
Canton	00500000	SCI	         301	57	          48	9	         253	48	         196	37	          35	7	         532	     503.6		
Cape Cod Lighthouse Charter (District)	04320000	ELA	         171	72	          33	14	         138	58	          57	24	          11	5	         239	     509.3	          54.6	         223
Cape Cod Lighthouse Charter (District)	04320000	MATH	         137	58	          16	7	         121	51	          92	39	           9	4	         238	     504.0	          45.3	         221
Cape Cod Lighthouse Charter (District)	04320000	SCI	          56	70	          13	16	          43	54	          21	26	           3	4	          80	     509.8		
Carlisle	00510000	ELA	         332	80	         111	27	         221	54	          70	17	          11	3	         413	     517.4	          56.3	         336
Carlisle	00510000	MATH	         325	79	         108	26	         217	53	          71	17	          15	4	         411	     517.2	          59.3	         333
Carlisle	00510000	SCI	         121	81	          51	34	          70	47	          27	18	           2	1	         150	     519.6		
Carver	00520000	ELA	         331	44	          29	4	         302	41	         351	47	          62	8	         744	     497.5	          44.3	         590
Carver	00520000	MATH	         310	42	          21	3	         289	39	         374	50	          61	8	         745	     496.2	          50.0	         591
Carver	00520000	SCI	         132	52	          15	6	         117	46	         105	42	          15	6	         252	     501.0		
Central Berkshire	06350000	ELA	         295	43	          57	8	         238	35	         304	45	          81	12	         680	     497.7	          50.5	         548
Central Berkshire	06350000	MATH	         294	43	          35	5	         259	38	         316	47	          68	10	         678	     497.2	          52.8	         546
Central Berkshire	06350000	SCI	          92	41	           6	3	          86	39	         108	49	          22	10	         222	     496.2		
Chelmsford	00560000	ELA	       1,533	68	         318	14	       1,215	54	         606	27	         112	5	       2,251	     509.6	          55.8	       1,781
Chelmsford	00560000	MATH	       1,415	63	         348	15	       1,067	47	         698	31	         134	6	       2,247	     507.5	          53.8	       1,781
Chelmsford	00560000	SCI	         493	65	         121	16	         372	49	         220	29	          47	6	         760	     508.1		
Chelsea	00570000	ELA	         911	33	          98	4	         813	29	       1,275	46	         603	22	       2,789	     490.1	          50.5	       2,063
Chelsea	00570000	MATH	         766	27	          63	2	         703	25	       1,320	47	         707	25	       2,793	     486.7	          40.4	       2,073
Chelsea	00570000	SCI	         176	20	           9	1	         167	19	         445	51	         255	29	         876	     482.2		
Chesterfield-Goshen	06320000	ELA	          33	53	           3	5	          30	48	          21	34	           8	13	          62	     498.4	          45.0	          47
Chesterfield-Goshen	06320000	MATH	          19	31	           4	6	          15	24	          32	52	          11	18	          62	     490.0	          36.0	          47
Chesterfield-Goshen	06320000	SCI	           6	50	           1	8	           5	42	           6	50	           0	0	          12	     504.8		
Chicopee	00610000	ELA	       1,371	42	         154	5	       1,217	37	       1,518	46	         396	12	       3,285	     496.3	          48.5	       2,479
Chicopee	00610000	MATH	       1,365	42	         146	4	       1,219	37	       1,533	47	         383	12	       3,281	     495.7	          46.9	       2,474
Chicopee	00610000	SCI	         472	42	          48	4	         424	38	         503	45	         140	13	       1,115	     496.3		
Christa McAuliffe Charter School (District)	04180000	ELA	         185	48	          29	8	         156	41	         169	44	          31	8	         385	     498.7	          45.3	         368
Christa McAuliffe Charter School (District)	04180000	MATH	         186	48	          32	8	         154	40	         166	43	          35	9	         387	     499.4	          40.3	         369
Christa McAuliffe Charter School (District)	04180000	SCI	          67	56	           4	3	          63	53	          49	41	           4	3	         120	     501.5		
Clarksburg	00630000	ELA	          58	48	           7	6	          51	43	          61	51	           1	1	         120	     501.2	          43.9	          98
Clarksburg	00630000	MATH	          38	32	           2	2	          36	30	          72	60	          10	8	         120	     492.5	          36.1	          98
Clarksburg	00630000	SCI	          16	36	           1	2	          15	34	          26	59	           2	5	          44	     495.6		
Clinton	00640000	ELA	         329	37	          20	2	         309	35	         447	51	         104	12	         880	     493.6	          44.3	         680
Clinton	00640000	MATH	         263	30	          13	1	         250	28	         491	56	         130	15	         884	     489.2	          48.9	         685
Clinton	00640000	SCI	          96	32	           7	2	          89	29	         169	56	          37	12	         302	     492.1		
Codman Academy Charter Public (District)	04380000	ELA	          15	13	           0	0	          15	13	          76	65	          26	22	         117	     481.4	          45.5	          90
Codman Academy Charter Public (District)	04380000	MATH	           9	8	           0	0	           9	8	          72	62	          36	31	         117	     476.5	          48.3	          90
Codman Academy Charter Public (District)	04380000	SCI	           2	5	           0	0	           2	5	          21	57	          14	38	          37	     476.0		
Cohasset	00650000	ELA	         525	73	         104	14	         421	59	         173	24	          21	3	         719	     510.7	          51.4	         586
Cohasset	00650000	MATH	         441	61	          49	7	         392	55	         246	34	          32	4	         719	     504.1	          48.5	         587
Cohasset	00650000	SCI	         159	60	          18	7	         141	54	          98	37	           6	2	         263	     504.2		
Collegiate Charter School of Lowell (District)	35030000	ELA	         253	50	          19	4	         234	46	         222	44	          35	7	         510	     500.1	          57.1	         369
Collegiate Charter School of Lowell (District)	35030000	MATH	         211	41	          24	5	         187	37	         267	52	          32	6	         510	     496.3	          58.8	         374
Collegiate Charter School of Lowell (District)	35030000	SCI	          71	43	          10	6	          61	37	          88	53	           8	5	         167	     498.9		
Community Charter School of Cambridge (District)	04360000	ELA	          99	72	          28	20	          71	51	          33	24	           6	4	         138	     512.1	          59.3	         122
Community Charter School of Cambridge (District)	04360000	MATH	          88	64	          10	7	          78	57	          45	33	           5	4	         138	     505.3	          51.8	         122
Community Charter School of Cambridge (District)	04360000	SCI	          28	57	           3	6	          25	51	          16	33	           5	10	          49	     500.1		
Community Day Charter Public School (District)	04400000	ELA	         159	67	          38	16	         121	51	          69	29	          10	4	         238	     509.6	          54.9	         187
Community Day Charter Public School (District)	04400000	MATH	         156	66	          27	11	         129	54	          75	32	           7	3	         238	     507.8	          55.3	         188
Community Day Charter Public School (District)	04400000	SCI	          31	47	           3	5	          28	42	          27	41	           8	12	          66	     497.2		
Community Day Charter Public School - Gateway (District)	04260000	ELA	         147	76	          33	17	         114	59	          37	19	           9	5	         193	     513.5	          50.7	         151
Community Day Charter Public School - Gateway (District)	04260000	MATH	         156	81	          33	17	         123	64	          30	16	           7	4	         193	     513.6	          58.0	         151
Community Day Charter Public School - Gateway (District)	04260000	SCI	          22	61	           1	3	          21	58	          12	33	           2	6	          36	     503.8		
Community Day Charter Public School - R. Kingman Webster (District)	04310000	ELA	         144	77	          42	22	         102	55	          40	21	           3	2	         187	     514.6	          61.1	         144
